pattern,flag_group,weight,note
"письмов[оуа]",legal,1,"вимога письмової відповіді — найчастіший маркер кампаній"
"офіційн[оуиа]",legal,1,"офіційна відповідь / офіційний документ"
"претенз",legal,2,"досудова претензія"
"((?:подам|подамо|подаємо|звернус[яь]|звернемо?с[ья]|змушен\w+ (?:звертат|подават))\w*.{0,40}(?:до суду|позов)|(?:до суду|позов).{0,30}(?:на вас|на ук|проти ук))",legal,3,"звузив: голе «позов» ловило «прийшло повідомлення про позов про стягнення заборгованості» — це УК судиться з мешканцем, знак протилежний"
"прокуратур",legal,3,
"(заяв\w* (?:у|до) поліці|звернуся до поліці|звернемо?с[ья] до поліці|поліці[юї] за ст)",legal,2,"звузив: голе «поліці» ловило «навіть поліція не зможе заїхати» і «викликати поліцію через авто» — це фон, а не ескалація проти УК"
"(держжитлов|державн[аоїу] інспекці|інспекці[юї] з питань|житлов[аоїу] інспекці)",legal,2,"звузив: голе «інспекці» ловило «провести інспекцію магазину Чорноморка» і «інспекція ґрунту» — 5 із 6 прикладів мимо"
"(адвокат|юрист)",legal,2,
"балансоутримувач",legal,2,"юридична термінологія власника мереж"
"згідно (?:з )?договор",legal,2,"посилання на пункт договору"
"(згідно закон|відповідно до закон|закону україни)",legal,2,
"(акт[уи]? перевірк|скласти акт|скласти дефектн)",legal,1,"«акт звірки» прибрано: 1269 збігів, усі — рутинне прохання надіслати звірку на пошту, не ескалація"
"скарг[уаи]",legal,1,
"контролюючих орган",legal,3,
"вимага[юєм]",legal,1,"«вимагаю» / «вимагаємо» замість «прошу»"
"(жахлив|огидн|ганьб)",outrage,1,
"(неподобств|обурен|обурю)",outrage,1,
"(знуща|цинізм)",outrage,2,
"(безвідповідальн|бездіяльн|некомпетент|хамств)",outrage,2,
"(бардак|неприпустим|кошмар)",outrage,1,
"(дістал|задовбал)",outrage,1,
"ініціативн[аої] груп",collective,3,"пряма самоназва організованої групи"
"загальн[иі] збор",collective,3,
"колективн",collective,2,
"петиці",collective,2,
"(ми,? мешканці|мешканці будинку вимаг|більшість мешканц)",collective,2,"звернення від імені групи"
"осбб вже близько",osbb_intent,4,
"скоро .{0,15}осбб",osbb_intent,4,
"(буде осбб|будемо осбб|перейдемо на осбб|перейдемо до осбб|вихід на осбб|виходити на осбб)",osbb_intent,4,"голе «буде осбб» не дало жодного збігу — розширено формулюваннями наміру"
"почнемо .{0,25}осбб",osbb_intent,4,
"(створенн[яю] осбб|створимо осбб|процедуру створення осбб)",osbb_intent,4,
"(змінити керуюч|іншу керуюч|змінити ук)",osbb_intent,4,
"люди і створюють осбб",osbb_intent,3,
"(вже (на|в) осбб|ми вже осбб)",osbb_postfact,0,"пост-фактум: дім уже пішов — детекція факту, не прогноз"
"(перейшли (на|до) осбб|перейшов (на|до) осбб)",osbb_postfact,0,
"рахунок осбб",osbb_postfact,0,
"голов[аи] осбб",osbb_postfact,0,
"(нове осбб|працює осбб)",osbb_postfact,0,
"(не вирішен|не виріше)",repeat,1,
"(нічого не зроблен|нічого не змінилось|нічого не змінилося)",repeat,1,
"(вкотре|в котрий раз)",repeat,1,
"скільки можна",repeat,1,
"(жодної реакції|нуль реакції)",repeat,2,
"(ігнору|не реагу[єют]{1,3} на (?:заявк|зверненн|скарг|прохання|запит))",repeat,1,"«не реагу» саме по собі ловило «не реагує датчик руху» — половину збігів"
"(досі не|так і не)",repeat,1,
"обіцяли",repeat,1,
"(?:^|[^\p{L}])(ху[йяюеё]|пизд|бля[дт]|[еє]б[ауоні]|їб|мудак|гандон|підар|пидор|довбо[её]б|дебіл|дебил|ідіот|идиот|нахуй|похуй)",profanity,0,"міряємо для повноти: 0.03% заявок — як самостійний детектор непридатний"
